City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
247,Biak,ID,-0.9131,122.8766,76.14,83,99,3.24,overcast clouds
248,Jalu,LY,29.0331,21.5482,76.15,28,0,7.16,clear sky
249,Atbasar,KZ,51.8,68.3333,2.57,85,100,5.88,overcast clouds
250,Troitskoye,RU,52.9821,84.6757,-4.59,90,11,3.27,few clouds
251,Galesong,ID,-5.3166,119.3661,75.22,85,100,2.82,overcast clouds
252,Vohibinany,MG,-17.35,49.0333,75.0,91,67,4.41,light rain
253,Monrovia,LR,6.3005,-10.7969,84.33,65,86,10.85,overcast clouds
254,Berlevag,NO,70.8578,29.0864,30.15,64,100,12.66,overcast clouds
255,Serov,RU,59.6033,60.5787,13.37,91,100,7.52,overcast clouds
256,Luganville,VU,-15.5333,167.1667,77.83,70,30,4.0,scattered clouds
257,Qaqortoq,GL,60.7167,-46.0333,17.11,72,95,4.88,overcast clouds
258,Srednekolymsk,RU,67.45,153.6833,-16.73,99,100,6.04,light snow
259,Adwa,ET,14.1646,38.8955,68.54,34,94,2.26,overcast clouds
260,Mackay,AU,-21.15,149.2,72.68,78,99,10.13,light rain
261,Huanren,CN,41.2647,125.3667,5.83,79,20,1.7,few clouds
262,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.59,100,100,4.47,light shower snow
263,Lavrentiya,RU,65.5833,-171.0,9.68,92,100,3.85,overcast clouds
264,Kalmunai,LK,7.4167,81.8167,76.75,84,73,9.91,broken clouds
265,Frisco,US,33.1507,-96.8236,39.47,59,9,7.0,clear sky
266,Tuatapere,NZ,-46.1333,167.6833,55.92,96,96,2.62,overcast clouds
267,Mahibadhoo,MV,3.7833,72.9667,80.87,71,94,2.53,overcast clouds
268,Tilichiki,RU,60.4667,166.1,12.92,95,52,10.27,broken clouds
269,Pandan,PH,14.0453,124.1694,80.04,87,100,11.5,overcast clouds
270,Kohima,IN,25.6667,94.1167,49.6,89,52,3.06,broken clouds
271,Umm Lajj,SA,25.0213,37.2685,79.03,42,0,4.25,clear sky
272,San Luis,AR,-33.295,-66.3356,85.39,22,22,8.66,few clouds
273,Panguna,PG,-6.3164,155.4848,69.53,95,98,0.78,overcast clouds
